Store_IBAN,Name,Age,Contact,Gender,Department,City,Salary,Date of Joining,Score1,Score2,Score3,Score4,Score5
LT57 4238 2898 2630 7649,Egon Blade,47,(212) 8488856,Male,Outdoors,Antwerpen,"€427,59",3/22/2025,3,9,64,38,7
TR58 7494 9WKP 0GZZ 6YHL UNM8 YJ,Annabell Brambley,33,(602) 5045921,Female,Automotive,BOLZANO-BOZEN,"€3789,70",6/29/2025,87,8,11,56,23
DO21 ED8I 0862 0951 0547 3605 4406,Temp Giraudo,34,(737) 8982810,Male,Tools,RICHMOND,"€2092,53",10/16/2025,40,84,43,88,74
RO02 BUQV VYCX 3MAL WRGF H8VY,Stefania Pike,47,(882) 1175845,Female,Tools,Praha 1,"€3396,27",4/7/2025,48,98,95,54,76
AL10 8264 5674 0EED TUCA LRDI PEZD,Donovan Bembrigg,45,(138) 3873640,Male,Movies,MONTROUGE,"€3763,19",8/31/2025,21,91,52,86,26
CH98 4456 97LT OUOT OMIQ W,Renato Carryer,48,(200) 9085322,Male,Tools,MURRIETTA,"€264,69",1/22/2026,59,21,83,57,87
KW59 JAYF 7LQQ T1TT WQOO XNHX SYPL DU,Alameda Hansard,35,(381) 8083377,Female,Health,FORREST,"€2069,95",10/2/2025,85,77,8,57,98
BR85 1270 9480 3460 2277 9795 905A D,Bryn Gummory,35,(765) 6058944,Male,Shoes,MIAMI,"€4142,69",4/12/2025,18,20,100,2,96
KZ03 6237 6XY9 REXF IQCT,Ruy Di Claudio,45,(898) 2896523,Male,Baby,Hamburg,"€1916,63",12/15/2025,90,20,91,6,27
FR93 9206 5099 924Y GK0T MW8G X11,Eran Kob,37,(314) 7666715,Female,Tools,"Burgdorf, Kr. Hannover","€1810,63",11/26/2025,92,69,71,91,17
FR22 1415 5115 564G 7EYU LFQ0 G93,Rockwell Ryles,44,(655) 6056763,Male,Shoes,DURHAM,"€3903,13",6/27/2025,21,81,13,9,28
MD50 TUNK JQQS K1FH IMK6 MKG3,Gnni Albrecht,28,(681) 8378383,Female,Movies,LAFAYETTE,"€3986,13",4/10/2025,1,87,53,44,17
RO58 GDZX OTDB VCUG GXXK S90B,Dre Jarret,25,(843) 7812336,Female,Home,Sint-Jans-Molenbeek,"€4293,38",1/14/2026,18,100,32,85,82
FR93 8333 1507 67WQ DGB5 V8UG C32,Allison Hardison,28,(262) 4081456,Female,Movies,RICHMOND,"€4460,80",5/1/2025,67,92,37,13,27
AT09 4636 5781 4890 8714,Donall Herreran,47,(602) 9249476,Male,Baby,SUGAR LAND,"€4331,51",3/7/2025,38,63,76,95,34
TN37 1982 4138 9810 1406 4165,Wait Rastrick,43,(789) 4685436,Male,Toys,SEARCY,"€4982,05",3/31/2025,15,32,74,7,50
DE47 7876 2565 2277 7723 19,Sapphire Dakhno,31,(451) 2196083,Female,Sports,Marburg,"€3505,48",8/13/2025,4,50,41,79,53
DE36 4055 9683 2386 4334 76,Andros Foxley,46,(649) 2928133,Male,Electronics,BRECKENRIDGE,"€3182,21",2/5/2025,99,17,94,87,68
LU49 733Z 8ZCH J7CO CCBH,Roxine Comrie,50,(129) 3026617,Female,Movies,Dublin,"€2596,13",7/7/2025,55,53,63,43,39
SE54 9993 5469 8431 7252 6894,Alphonso Stinchcombe,28,(596) 7466769,Male,Electronics,PAXTON,"€3114,35",10/7/2025,50,98,19,12,22
PT44 3131 4469 4183 0485 5754 6,Mercy Carter,33,(563) 6309381,Female,Outdoors,Dasseldorf,"€3077,35",2/6/2025,36,9,62,81,36
GB22 YZPN 9491 8539 7891 68,Stanislas Ruby,28,(836) 5207424,Male,Computers,NAPERVILLE,"€2445,87",1/25/2026,78,60,88,25,21
AL12 4760 2016 1JKO HY42 B1YC PX6K,Ardath Picopp,38,(416) 1548945,Female,Movies,BUFFALO,"€1465,90",9/30/2025,50,41,80,78,98
SM16 X747 2377 667P ETZC ULHD S0Z,Odilia Strong,44,(140) 7591454,Female,Clothing,Frankfurt am Main,"€4267,72",11/26/2025,37,34,37,78,64
NO28 0801 3809 251,Colin Casino,36,(320) 8872476,Male,Automotive,PORTLAND,"€3777,25",3/3/2025,86,67,33,18,46
FR39 1807 5099 93W5 YONZ P7TQ C63,Lebbie Orrey,32,(296) 2968313,Female,Automotive,BIRMINGHAM,"€3503,62",1/22/2026,1,87,98,24,94
FI49 2342 2819 8422 78,William Venton,49,(519) 8080328,Male,Industrial,"Kemnath, Stadt","€4704,13",3/19/2025,18,65,6,60,5
NO11 7485 6607 527,Edsel Ruslin,31,(949) 2188502,Male,Outdoors,MILANO,"€682,25",12/4/2025,40,61,53,73,36
CY94 5884 6076 PARH 4QRE 6STR 4KDS,Antoinette Issacov,25,(962) 5073511,Female,Computers,LEWISTON,"€3168,77",10/23/2025,2,29,38,44,50
GR73 3406 442K SBNQ G7XL ZTDA 5ZU,Shell Rutley,43,(920) 1410478,Male,Beauty,DUBLIN,"€2246,46",11/13/2025,94,100,5,95,13
FR37 9377 9331 62OH YRN9 ZD57 450,Marcella Cardenoza,36,(636) 4321324,Female,Tools,HERMITAGE,"€575,94",6/10/2025,27,97,97,1,56
FO04 8662 6048 0993 20,Rob Kirsopp,38,(254) 7738971,Male,Clothing,PARIS 13,"€3923,65",3/7/2025,27,7,70,29,28
